prov_id,cons_id,mp_app_id,mp_app_vote,mp_app_vote_percent,mp_app_rank,party_id,mp_app_name,mp_app_no,mp_app_party_id,party_id_ref,party_name,color,party_no,province
BKK,BKK_1,BKK_1_5,32564,44.39294,1,129.0,นายปารเมศ วิทยารักษ์สรรค์,5,129.0,129.0,ประชาชน,#fd6512,46.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_9,14018,19.11007,2,1.0,นายพีรวุฒิ พิมพ์สมฤดี,9,1.0,1.0,ประชาธิปัตย์,#06aff3,27.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_1,13661,18.62339,3,63.0,นางสาวลลิดา เพริศวิวัฒนา,1,63.0,63.0,ภูมิใจไทย,#0c149c,37.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_8,5761,7.8537,4,34.0,นายญาณกิตติ์ ห่วงทรัพย์,8,34.0,34.0,เพื่อไทย,#da3731,9.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_6,1983,2.70333,5,229.0,นายพลัฏฐ์ ศิริกุลพิสุทธิ์,6,229.0,229.0,รวมไทยสร้างชาติ,#020C54,6.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_12,1076,1.46686,6,241.0,นายแทนคุณ จิตต์อิสระ,12,241.0,241.0,โอกาสใหม่,#c21b06,44.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_7,968,1.31963,7,234.0,นายภัทรพล หมดมลทิน,7,234.0,234.0,ไทยภักดี,#CBBA01,29.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_2,938,1.27873,8,173.0,พันตำรวจโทหญิงแสนสุข อุทยานินทร์,2,173.0,173.0,เศรษฐกิจ,#f7c036,11.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_11,601,0.81931,9,227.0,นายพิเชษฐ์ ไทยนิยม,11,227.0,227.0,ไทยสร้างไทย,#003dff,48.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_16,472,0.64346,10,133.0,นายกานต์ กิตติอำพน,16,133.0,133.0,ไทยก้าวใหม่,#f4ec53,49.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_4,334,0.45533,11,217.0,นายธนะสิทธิ์ ล้อสุวรรณทีปต์,4,217.0,217.0,พลวัต,#58bc38,7.0,กรุงเทพมหานคร
BKK,BKK_1,BKK_1_3,235,0.32036,12,218.0,นายอัครพล คฤหเดชรัตนา,3,218.0,218.0,กล้าธรรม,#55CF6A,42.0,กรุงเทพมหานคร
