party_name,constituency_seats,estimated_pl_seats,total_estimated_seats
ภูมิใจไทย,174,18,192
ประชาชน,87,30,117
เพื่อไทย,58,16,74
กล้าธรรม,56,1,57
ประชาธิปัตย์,10,11,21
ไทรวมพลัง,5,0,5
ประชาชาติ,4,1,5
พลังประชารัฐ,4,0,4
เศรษฐกิจ,0,3,3
รวมไทยสร้างชาติ,0,2,2
โอกาสใหม่,1,0,1
ไทยสร้างไทย,1,0,1
เพื่อชาติไทย,0,1,1
รวมใจไทย,0,1,1
ประชากรไทย,0,0,0
เพื่อชีวิตใหม่,0,0,0
เพื่อบ้านเมือง,0,0,0
ครูไทยเพื่อประชาชน,0,0,0
ก้าวอิสระ,0,0,0
เสรีรวมไทย,0,0,0
แผ่นดินธรรม,0,0,0
แรงงานสร้างชาติ,0,0,0
ใหม่,0,0,0
เครือข่ายชาวนาแห่งประเทศไทย,0,0,0
ไทยก้าวหน้า,0,0,0
ไทยก้าวใหม่,0,0,0
ไทยชนะ,0,0,0
ไทยทรัพย์ทวี,0,0,0
ไทยธรรม,0,0,0
ไทยพร้อม,0,0,0
ไทยพิทักษ์ธรรม,0,0,0
ไทยภักดี,0,0,0
ไทยรวมไทย,0,0,0
เป็นธรรม,0,0,0
อนาคตไทย,0,0,0
ท้องที่ไทย,0,0,0
สังคมประชาธิปไตยไทย,0,0,0
ประชาธิปไตยใหม่,0,0,0
ประชาอาสาชาติ,0,0,0
ประชาไทย,0,0,0
ปวงชนไทย,0,0,0
พร้อม,0,0,0
พลวัต,0,0,0
พลังธรรมใหม่,0,0,0
ทางเลือกใหม่,0,0,0
พลังสังคมใหม่,0,0,0
พลังเพื่อไทย,0,0,0
พลังไทยรักชาติ,0,0,0
ฟิวชัน,0,0,0
ความหวังใหม่,0,0,0
มิติใหม่,0,0,0
รวมพลังประชาชน,0,0,0
คลองไทย,0,0,0
รักชาติ,0,0,0
วิชชั่นใหม่,0,0,0
สร้างอนาคตไทย,0,0,0
กรีน,0,0,0
