prov_id,cons_id,turn_out,percent_turn_out,valid_votes,invalid_votes,blank_votes,counted_vote_stations,percent_count
BKK,BKK_0,0,0.0,0,0,0,16,16.84211
BKK,BKK_1,78449,60.14967,73354,1083,4012,227,94.97908
BKK,BKK_2,84672,62.0394,78713,1319,4640,220,94.82759
BKK,BKK_3,77999,63.63214,72671,1353,3975,206,94.93088
BKK,BKK_4,74760,57.75069,70338,1370,3052,187,94.92386
BKK,BKK_5,92193,68.79253,86672,1223,4298,206,94.93088
BKK,BKK_6,96139,67.16244,89947,1327,4865,209,95.0
BKK,BKK_7,87360,63.17799,80487,1556,5317,201,94.81132
BKK,BKK_8,93179,64.67755,86197,1530,5452,193,94.60784
BKK,BKK_9,97958,67.88684,90662,1523,5773,189,94.97487
BKK,BKK_10,90627,65.34643,83784,1415,5428,178,94.68085
BKK,BKK_11,95230,69.34947,90059,1171,4000,185,94.87179
BKK,BKK_12,100659,70.31813,93925,1483,5251,181,94.7644
BKK,BKK_13,85806,65.14916,79890,1185,4731,183,94.81865
BKK,BKK_14,89044,63.44832,83986,1306,3752,187,94.92386
BKK,BKK_15,87827,68.74481,81890,1269,4668,175,94.59459
BKK,BKK_16,91334,66.05912,85747,1310,4277,170,94.97207
BKK,BKK_17,75113,62.22909,68125,1844,5144,168,94.91525
BKK,BKK_18,79260,64.51403,73057,1334,4869,161,94.70588
BKK,BKK_19,89867,66.27653,83857,1517,4493,179,94.70899
BKK,BKK_20,78913,62.37985,74013,1611,3289,161,94.70588
BKK,BKK_21,87981,64.37147,83023,1387,3571,173,94.53552
BKK,BKK_22,87232,65.25971,80888,1419,4925,192,94.58128
BKK,BKK_23,95094,65.97519,89186,1016,4892,220,94.82759
BKK,BKK_24,91552,64.40022,84371,1800,5381,221,94.84979
BKK,BKK_25,82288,64.87185,77290,1348,3650,165,94.82759
BKK,BKK_26,89312,64.03533,82875,1707,4730,197,94.71154
BKK,BKK_27,91070,67.70047,85471,1503,4096,167,94.88636
BKK,BKK_28,77195,55.19961,71197,1534,4464,150,78.53403
BKK,BKK_29,95801,66.29919,88794,1762,5245,189,94.97487
BKK,BKK_30,96587,67.11905,89793,1438,5356,184,94.84536
BKK,BKK_31,102192,71.05993,93621,1887,6684,228,94.60581
BKK,BKK_32,87928,63.22162,80054,2145,5729,216,94.73684
BKK,BKK_33,90725,61.20845,83494,1884,5347,205,89.51965
SPK,SPK_1,91637,70.05458,82985,3986,4666,197,94.71154
SPK,SPK_2,89085,69.04743,82529,2357,4199,190,94.52736
SPK,SPK_3,88659,62.80256,81428,2232,4999,200,94.78673
SPK,SPK_4,90493,66.30738,83459,1513,5521,170,94.97207
SPK,SPK_5,98647,62.15942,88948,2530,7169,218,94.78261
SPK,SPK_6,86953,66.89258,80192,2553,4208,247,94.63602
SPK,SPK_7,99665,66.69767,92193,2612,4860,217,94.75983
SPK,SPK_8,105164,69.72399,96900,3255,5009,239,94.84127
NBI,NBI_1,92943,66.37269,86108,1616,5219,167,94.88636
NBI,NBI_2,83203,66.7718,76200,1692,5311,166,94.85714
NBI,NBI_3,80564,57.14529,72712,1896,5956,158,77.07317
NBI,NBI_4,77244,60.65203,71114,1765,4365,168,94.91525
NBI,NBI_5,98977,71.79582,90970,2083,5924,188,94.94949
NBI,NBI_6,104901,72.80444,94433,3445,7023,202,94.83568
NBI,NBI_7,94948,66.64046,86506,2480,5962,199,94.7619
NBI,NBI_8,98052,71.57969,90231,2125,5696,194,94.63415
PTE,PTE_1,96543,73.86611,89538,2728,4277,191,94.55446
PTE,PTE_2,97616,75.72944,92064,1936,3616,185,94.87179
PTE,PTE_3,88840,67.43432,79693,2794,6353,171,95.0
PTE,PTE_4,90732,68.7171,83457,2367,4908,169,94.94382
PTE,PTE_5,80064,65.23057,73781,1572,4711,201,94.81132
PTE,PTE_6,83592,68.29802,77289,1644,4659,145,94.77124
PTE,PTE_7,87221,71.58474,81575,2068,3578,176,94.62366
PTE,PTE_8,80495,65.76228,73988,3095,3412,177,94.65241
AYA,AYA_1,99087,70.68151,90908,3338,4841,227,94.97908
AYA,AYA_2,98074,76.26935,90248,3371,4455,222,94.87179
AYA,AYA_3,100194,73.40596,93292,3436,3466,206,94.93088
AYA,AYA_4,102574,73.51763,96028,2797,3749,219,94.80519
AYA,AYA_5,98147,73.76423,91327,4153,2667,227,94.97908
ATG,ATG_1,80520,72.10789,75023,2578,2919,236,94.77912
ATG,ATG_2,81967,72.90946,75719,3152,3096,243,94.92188
LRI,LRI_1,97232,64.08985,88735,3424,5073,246,94.98069
LRI,LRI_2,110985,74.15215,102847,3842,4296,254,94.77612
LRI,LRI_3,99817,68.53304,93520,3661,2636,272,94.77352
LRI,LRI_4,109708,73.43535,102196,4531,2981,266,94.66192
SBR,SBR_1,120463,72.05889,108486,5170,6807,316,94.89489
CNT,CNT_1,85157,64.92852,72785,5224,7148,241,94.88189
CNT,CNT_2,90466,69.363,80425,4664,5377,248,94.65649
SRI,SRI_1,91835,71.67666,82105,3459,6271,207,94.95413
SRI,SRI_2,98281,71.90013,90532,4256,3493,231,94.67213
SRI,SRI_3,65098,51.72625,59919,2411,2768,197,94.71154
SRI,SRI_4,94975,74.01534,85330,4089,5556,222,94.87179
CBI,CBI_1,98894,74.0535,92439,2127,4328,163,94.76744
CBI,CBI_2,78872,69.22179,73956,1776,3140,126,94.73684
CBI,CBI_3,92645,72.84328,84876,3120,4649,170,94.97207
CBI,CBI_4,83770,69.6522,76139,3736,3895,173,94.53552
CBI,CBI_5,97667,72.3545,89663,3471,4533,206,94.93088
CBI,CBI_6,88248,63.68478,81831,2068,4349,168,94.91525
CBI,CBI_7,84276,65.90499,78561,1993,3722,154,94.47853
CBI,CBI_8,86649,61.69121,79998,2844,3807,171,94.47514
CBI,CBI_9,62578,50.97796,56469,2878,3231,156,94.54545
CBI,CBI_10,84108,62.44608,77743,1900,4465,168,94.91525
RYG,RYG_1,85173,69.96074,79332,2232,3609,170,94.97207
RYG,RYG_2,71887,61.62782,63412,3408,5067,190,94.52736
RYG,RYG_3,80115,64.41459,71812,3348,4955,232,94.69388
RYG,RYG_4,57717,44.57737,53379,1994,2344,115,58.67347
RYG,RYG_5,85239,65.78758,77376,3288,4575,169,94.94382
CTI,CTI_1,105152,71.03521,95966,3058,6128,280,94.91525
CTI,CTI_2,94138,66.07242,84142,4595,5401,273,94.79167
CTI,CTI_3,96465,67.79607,87089,4032,5344,281,94.93243
TRT,TRT_1,112944,63.83902,104438,4161,4345,329,94.81268
CCO,CCO_1,105262,71.81541,91858,4789,8615,244,94.94163
CCO,CCO_2,114004,78.59147,105669,4230,4105,264,94.96403
CCO,CCO_3,98419,66.3098,88206,5117,5096,246,94.98069
CCO,CCO_4,117546,77.37005,107721,4360,5465,244,94.94163
PRI,PRI_1,89864,67.77227,78565,3509,7790,228,94.60581
PRI,PRI_2,101887,71.85109,94564,3353,3970,281,94.93243
PRI,PRI_3,86149,66.71494,77567,4326,4256,248,94.65649
NYK,NYK_1,73481,70.61814,68423,2365,2693,199,94.7619
NYK,NYK_2,81538,74.84327,75139,3041,3358,242,94.90196
SKW,SKW_1,93093,63.11304,85502,3596,3995,276,94.84536
SKW,SKW_2,87143,60.03817,80109,3520,3514,290,94.77124
SKW,SKW_3,95577,63.27633,87118,4905,3554,288,94.73684
NMA,NMA_1,85005,66.06589,76007,2167,6831,228,95.0
NMA,NMA_2,95437,67.57941,87403,2931,5103,206,94.93088
NMA,NMA_3,97321,71.27185,87895,3425,6001,222,94.87179
NMA,NMA_4,79563,60.38571,71266,3412,4885,290,94.77124
NMA,NMA_5,91146,68.27007,83962,3689,3495,281,94.93243
NMA,NMA_6,81885,61.33386,78091,2021,1773,291,94.78827
NMA,NMA_7,72610,55.08687,68289,2474,1847,314,94.86405
NMA,NMA_8,78356,58.55503,70904,4488,2964,278,94.88055
NMA,NMA_9,83262,61.32939,79059,2651,1552,285,95.0
NMA,NMA_10,102879,74.47229,95993,3772,3114,287,94.71947
NMA,NMA_11,85265,64.37038,77647,3689,3929,258,94.85294
NMA,NMA_12,86213,65.06396,78302,4225,3686,310,94.80122
NMA,NMA_13,71744,55.14273,60849,6106,4789,270,94.73684
NMA,NMA_14,82123,62.77317,71835,4731,5557,228,95.0
NMA,NMA_15,89820,64.79818,85822,2489,1509,313,94.84848
NMA,NMA_16,82925,60.97382,77922,2785,2218,323,95.0
BRM,BRM_4,71088,58.49949,66230,3058,1800,257,94.83395
BRM,BRM_1,76770,61.25673,70455,3400,2915,261,94.90909
BRM,BRM_2,82670,64.7681,75769,3510,3391,263,94.94585
BRM,BRM_3,68118,54.2181,63636,3142,1340,266,94.66192
BRM,BRM_5,77970,59.32074,72573,2920,2477,302,94.96855
BRM,BRM_6,69506,53.1489,64305,2667,2534,294,94.83871
BRM,BRM_7,71117,57.80789,66292,2802,2023,257,94.83395
BRM,BRM_8,79742,62.80134,73395,3042,3305,266,95.0
BRM,BRM_9,67032,52.37366,62019,3038,1975,239,94.84127
BRM,BRM_10,65157,53.71514,60525,2705,1927,211,94.61883
SRN,SRN_1,88601,65.10088,81068,3303,4230,235,94.75806
SRN,SRN_2,89248,63.69443,84087,2850,2311,251,94.71698
SRN,SRN_3,74602,54.29786,70135,2455,2012,301,94.95268
SRN,SRN_4,72193,51.6953,68441,2121,1631,293,94.82201
SRN,SRN_5,70625,52.10101,67868,1949,808,301,94.95268
SRN,SRN_6,76662,57.13711,71941,3007,1714,259,94.87179
SRN,SRN_7,87156,63.87488,80866,4081,2209,278,94.88055
SRN,SRN_8,76667,56.02552,71162,3934,1571,247,94.63602
SSK,SSK_1,82102,61.76473,78704,1964,1434,274,94.80969
SSK,SSK_2,73527,57.11767,69985,2191,1351,273,94.79167
SSK,SSK_3,78816,61.575,73521,3067,2228,277,94.86301
SSK,SSK_4,72004,58.78885,67792,2520,1692,230,94.65021
SSK,SSK_5,80717,63.21919,75589,3280,1848,232,94.69388
SSK,SSK_6,70972,55.11917,66877,2850,1245,298,94.90446
SSK,SSK_7,71700,56.22295,67063,3877,760,324,94.73684
SSK,SSK_8,76063,57.04483,71854,2679,1530,361,95.0
SSK,SSK_9,87028,62.49542,82939,2521,1568,402,94.81132
UBN,UBN_1,86407,65.19118,76420,3834,6153,235,94.75806
UBN,UBN_2,84801,62.09389,80009,2147,2645,272,94.77352
UBN,UBN_3,87951,62.93317,80774,3261,3916,318,94.92537
UBN,UBN_4,106067,70.5364,94753,4933,6381,291,94.78827
UBN,UBN_5,74566,56.89282,69964,2665,1937,305,94.7205
UBN,UBN_6,80082,60.64934,74580,3912,1590,264,94.96403
UBN,UBN_7,86153,65.62238,82798,2418,937,270,94.73684
UBN,UBN_8,78660,57.276,74464,2553,1643,280,94.91525
